,Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm)
,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7
Age (years),,,,,,,,,,,,,,
5.0,2.497596680175282,2.7210923194568033,2.7542979576035274,3.068588172882653,3.1546015222518573,2.8843703716772104,3.103476747479317,0.10152343911546854,0.1068299390110454,0.10136866922339531,0.09582318144681813,0.11431263863616553,0.10071651018511246,0.09894884004144124
6.0,2.468847444964065,2.696181328322586,2.7229018093831274,3.0410605883329724,3.133154019478857,2.8522524051124236,3.068534391895778,0.10037588216733474,0.10588530924084456,0.10064898608242265,0.09526351192724777,0.11325159561846447,0.09993967952516662,0.09834728901364886
7.0,2.441671330466581,2.6725759693253948,2.693214122801155,3.0148616127672745,3.1128501568377027,2.821829637803688,3.035425958148734,0.09927743028361871,0.10499978768025899,0.0999575831573151,0.09471494870139174,0.11224530681815865,0.09918369063231794,0.09775344907899108
8.0,2.416025033538603,2.6502384265966605,2.665186793553253,2.9899545502364946,3.09365813974815,2.793054710044167,3.0041005351227557,0.09822668915717887,0.10417146868838939,0.09929391828269375,0.09417785383727963,0.11129125578927408,0.0984485833108867,0.0971680490255648
9.0,2.3918652510359406,2.6291308842678,2.638771717335042,2.966302704791514,3.075546173629953,2.765880262127074,2.974507211702414,0.09722234200301103,0.10339849211873044,0.0986575072096101,0.09365260775887548,0.11038711438626249,0.0977344011279386,0.09659179651638407
10.0,2.3691486798143857,2.609215526470183,2.613920789842178,2.943869380483274,3.0584824639029113,2.740258934345595,2.946595076772259,0.09626315136939302,0.10267904993062867,0.09804791900939931,0.09313960067043776,0.10953073419729217,0.09704119047511843,0.09602537487166529
11.0,2.34783201672972,2.5904545373352246,2.590585906770294,2.922617881362663,3.0424352159867554,2.716143366992944,2.920313219216869,0.09534795955078891,0.1020113911863744,0.0974647719681003,0.09263922614605495,0.10872013738924068,0.09636900025047494,0.09546944122212228
12.0,2.327871958637759,2.572810100994352,2.5687189638150123,2.9025115114806073,3.0273726353012713,2.693486200362292,2.8956107279208143,0.09447568774694297,0.10139382560737811,0.09690772990780264,0.09215187651159351,0.10795350708731405,0.0957178820402985,0.09492462577180333
13.0,2.3092252023942885,2.556244401578951,2.548271856672004,2.8835135748880174,3.013262927266209,2.6722400747468487,2.872436691768665,0.09364533414207023,0.10082472586933705,0.09637649889061649,0.09167793970225042,0.10722917743492945,0.09508789069799398,0.0943915319466036
14.0,2.2918484448551038,2.5407196232204132,2.5291964810368674,2.865587375635794,3.0000742973013406,2.652357630439806,2.8507401996449695,0.09285597109052618,0.10030252881458107,0.09587082427312918,0.09121779732714023,0.10654562348566658,0.09447908523225632,0.09387073723871432
