,Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm)
,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7
Age (years),,,,,,,,,,,,,,
5.0,2.505751304029997,2.6992409223146034,2.7401814234542328,3.0671156981274863,3.153707917772731,2.8719316817925282,3.091559121529646,0.10152124481691983,0.10788195203578838,0.10293923968600677,0.09717098346947341,0.1142962802219609,0.10222889883929231,0.10038611467107744
6.0,2.4770020688187766,2.6743299311803774,2.7087852752338413,3.0395881135778,3.132260414999728,2.8398137152277543,3.056616765946112,0.10037746593008881,0.10692868269378442,0.10220381027147683,0.09660129399796637,0.11322509925792335,0.10143839377589348,0.09976988081642255
7.0,2.449825954321282,2.650724572183194,2.6790975886518646,3.013389138012105,3.1119565523585755,2.8093909479190167,3.0235083321990657,0.09928261900489177,0.10603480889720962,0.10149744935794855,0.09604281176217351,0.11220938436762298,0.10066931423353126,0.09916196030427664
8.0,2.4241796573933097,2.6283870294544722,2.651070259403955,2.9884820754813246,3.092764535269027,2.780616020159495,2.9921829091730885,0.09823528290686533,0.10519839969819085,0.10081959551095912,0.09549594907130932,0.11124655060073242,0.09992170171991642,0.09856308065802416
9.0,2.4000198748906425,2.607279487125598,2.624655183185754,2.9648302300363407,3.074652569150845,2.7534415722424006,2.9625895857527382,0.09723412014391193,0.10441757409053387,0.10016974566291507,0.09496112917920566,0.11033420706307319,0.09919559911775522,0.0979739461040144
10.0,2.3773033036690867,2.587364129327983,2.599804255692881,2.9423969057281116,3.0575888594237917,2.727820244460927,2.9346774508225866,0.09627787822378062,0.10369050725316205,0.09954745050068817,0.09443877846583584,0.10947014846715138,0.0984910501148737,0.09739523475954186
11.0,2.355986640584425,2.568603140193031,2.5764693726209926,2.9211454066074953,3.0415416115076366,2.7037046771082687,2.9083955932672025,0.09536538957577774,0.10301543517027166,0.09895231037252249,0.09392932075980465,0.1086523459345055,0.09780809921475506,0.09682759713414629
12.0,2.3360265824924604,2.550958703852153,2.5546024296657177,2.901039036725439,3.026479030822144,2.6810475104776224,2.88369310197114,0.0944955702001922,0.10239065781359227,0.09838397163912044,0.09343317341647871,0.1078789372080839,0.0971467922102194,0.09627165568999753
13.0,2.3173798262489878,2.534393004436741,2.534155322522704,2.882041100132839,3.0123693227870896,2.659801384862172,2.860519065818986,0.09366741723510129,0.10181454107562489,0.09784212341527457,0.09295074482632497,0.10714821645215988,0.09650717702018971,0.09572800524432641
14.0,2.300003068709808,2.518868226078217,2.5150799468875924,2.864114900880624,2.999180692822211,2.6399189405551304,2.8388225736953,0.09288000563936019,0.1012855176384093,0.09732649466290272,0.09248243307976631,0.1064586238191352,0.0958893048048558,0.09519721403041122
