,Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm)
,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7
Age (years),,,,,,,,,,,,,,
5.0,2.5016739921026367,2.7101666208857016,2.7472396905288834,3.0678519355050704,3.1541547200122952,2.878151026734865,3.0975179345044737,0.10152203279403729,0.10735152581720007,0.10215034817229778,0.09649417346362385,0.1142983935038343,0.10146832047036795,0.09966587251746746
6.0,2.4729247568914214,2.6852556297514774,2.7158435423084883,3.0403243509553866,3.1327072172393016,2.8460330601700883,3.062575578920945,0.100376360038795,0.10640258870180631,0.10142283650748998,0.09592952210297405,0.11323231237808651,0.1006846774771779,0.09905698688134593
7.0,2.445748642393936,2.6616502707542917,2.686155855726516,3.0141253753896935,3.112403354598145,2.8156102928613413,3.0294671451739004,0.09927970465945553,0.10551290495665205,0.10072399631349709,0.09537602601185441,0.11222134036774309,0.09992216812953979,0.09845611360068296
8.0,2.420102345465958,2.6393127280255655,2.658128526478597,2.989218312858917,3.0932113375085915,2.7868353651018394,2.9981417221479227,0.09823065912817953,0.1046805561731587,0.10005327592606461,0.0948340724817057,0.1112629269704512,0.09918083308094516,0.09786398085893631
9.0,2.395942562963297,2.6182051856966893,2.6317134502603996,2.9655664674139377,3.0750993713903982,2.75966091718474,2.9685483987275743,0.09722789647472112,0.10390367165586488,0.09941018181564887,0.09430406344115977,0.11035471281746495,0.09846071554458778,0.09728129461971663
10.0,2.3732259917417333,2.598289827899074,2.60686252276753,2.9431331431056797,3.0580356616633475,2.7340395894032636,2.9406362637974226,0.09627017187362466,0.10318043485288116,0.09879427398346623,0.09378640725986448,0.10949452117146828,0.09776186054035849,0.09670873561232703
11.0,2.351909328657078,2.579528838764131,2.5835276396956424,2.9218816439850817,3.041988413747198,2.7099240220506022,2.9143544062420355,0.09535632281436543,0.10250908816691413,0.09820516186264158,0.09328151270556738,0.10868034875592122,0.0970843147420152,0.0961469576595608
12.0,2.3319492705651093,2.5618844024232534,2.561660696740372,2.901775274103021,3.0269258330617097,2.687266855419955,2.8896519149459827,0.09448526800828135,0.10188793632632887,0.09764250065495528,0.09278978467529113,0.10791035605631907,0.0964281268058825,0.09559658708988554
13.0,2.3133025143216384,2.5453187030078395,2.541213589597357,2.88277733751043,3.0128161250266428,2.6660207298045138,2.8664778787938197,0.09365600521401747,0.10131534850070043,0.09710598805415366,0.09231162137940237,0.10718285725482882,0.09579334807955235,0.09505822301353978
14.0,2.295925756782462,2.529793924649314,2.5221382139622324,2.8648511382582087,2.9996274950617803,2.6461382854974684,2.8447813866701352,0.09286760817402843,0.10078975934228827,0.09659536132014877,0.0918474127073972,0.1064963099638237,0.09518003360436782,0.09453243827590851
